City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Esil,KZ,2022-04-16 04:12:24,51.9556,66.4042,54.73,52,100,9.35
204,Suntar,RU,2022-04-16 04:12:24,62.1444,117.6319,27.16,70,100,5.41
205,Mus,TR,2022-04-16 04:12:24,39.0,41.75,35.64,63,56,4.7
206,Miri,MY,2022-04-16 04:12:25,4.4148,114.0089,87.6,61,33,6.02
207,Ilulissat,GL,2022-04-16 04:02:35,69.2167,-51.1,-11.65,90,11,5.73
208,Tura,IN,2022-04-16 04:12:25,25.5198,90.2201,81.75,74,98,8.68
209,Amethi,IN,2022-04-16 04:12:25,26.15,81.8167,99.61,8,3,5.66
210,Yantal,RU,2022-04-16 04:12:26,56.8471,105.2542,45.45,67,73,5.06
211,Codrington,AU,2022-04-16 04:12:26,-38.2667,141.9667,76.14,42,33,5.55
212,Marawi,PH,2022-04-16 04:12:26,7.9986,124.2928,81.7,60,83,5.26
213,Asau,RO,2022-04-16 04:04:53,46.4333,26.4,44.96,91,98,1.39
214,Lata,PT,2022-04-16 04:12:27,40.1629,-8.3327,51.4,91,100,2.64
215,Mugur-Aksy,RU,2022-04-16 04:12:27,50.35,90.5,40.28,25,7,2.26
216,Tuatapere,NZ,2022-04-16 04:12:27,-46.1333,167.6833,54.66,58,35,15.52
217,Cabo San Lucas,MX,2022-04-16 04:02:35,22.8909,-109.9124,73.62,53,100,9.15
218,Payson,US,2022-04-16 04:12:28,40.0444,-111.7321,49.37,62,0,6.91
219,Chernyshevskiy,RU,2022-04-16 04:12:28,63.0128,112.4714,20.84,75,89,4.97
220,Barra Do Garcas,BR,2022-04-16 04:12:29,-15.89,-52.2567,70.27,87,13,2.06
221,Alofi,NU,2022-04-16 04:12:29,-19.0595,-169.9187,81.57,72,31,6.06
222,Ribeira Grande,PT,2022-04-16 04:12:29,38.5167,-28.7,59.74,71,100,4.7
223,Upernavik,GL,2022-04-16 04:12:29,72.7868,-56.1549,-18.38,98,32,6.2
224,Takoradi,GH,2022-04-16 04:04:55,4.8845,-1.7554,79.18,84,100,5.7
225,Luderitz,NA,2022-04-16 04:13:30,-26.6481,15.1594,59.83,51,0,11.54
226,Melilla,ES,2022-04-16 04:11:56,35.2937,-2.9383,55.78,67,0,4.61
227,Dubbo,AU,2022-04-16 04:13:30,-32.25,148.6167,77.13,36,13,8.05
228,Huarmey,PE,2022-04-16 04:13:31,-10.0681,-78.1522,67.15,85,74,11.07
229,Bull Savanna,JM,2022-04-16 04:13:31,17.8868,-77.5902,73.81,81,0,8.43
230,Sinnamary,GF,2022-04-16 04:11:15,5.3833,-52.95,77.63,88,100,10.54
231,Mana,GF,2022-04-16 04:13:31,5.6592,-53.7767,77.05,89,75,8.19
232,Gizo,SB,2022-04-16 04:13:32,-8.103,156.8419,84.2,71,100,4.18
233,Las Tapias,AR,2022-04-16 04:13:32,-31.458,-68.5647,63.7,48,15,5.03
234,San Jeronimo,PE,2022-04-16 04:13:32,-11.9472,-75.2829,46.67,88,88,1.95
235,Rura,IN,2022-04-16 04:13:32,26.4833,79.9,98.13,9,27,5.48
236,Norman Wells,CA,2022-04-16 04:13:33,65.282,-126.8329,4.6,96,99,2.21
237,At-Bashi,KG,2022-04-16 04:13:33,41.1702,75.8106,51.08,37,0,0.43
238,Port Augusta,AU,2022-04-16 04:13:33,-32.5,137.7667,88.16,21,0,4.23
239,Padang,ID,2022-04-16 04:10:17,-0.9492,100.3543,87.85,65,100,1.7
240,Bambous Virieux,MU,2022-04-16 04:12:32,-20.3428,57.7575,76.21,83,75,16.11
241,Upata,VE,2022-04-16 04:13:34,8.0086,-62.3989,71.92,87,64,6.82
242,Majene,ID,2022-04-16 04:13:34,-3.5403,118.9707,85.12,69,99,6.53
243,Coracora,PE,2022-04-16 04:13:34,-15.0333,-73.7833,50.58,50,90,5.17
244,Bakhtiyarpur,IN,2022-04-16 04:13:35,25.4667,85.5167,93.22,7,2,8.72
245,Lavrentiya,RU,2022-04-16 04:13:35,65.5833,-171.0,29.95,96,100,14.65
246,Buin,CL,2022-04-16 04:13:35,-33.7333,-70.75,60.06,65,1,1.5
247,Manali,IN,2022-04-16 04:13:36,13.1667,80.2667,91.49,78,94,12.19
248,Mayo,US,2022-04-16 04:13:36,38.8876,-76.5119,61.12,50,0,16.11
249,Senanga,ZM,2022-04-16 04:13:36,-16.1167,23.2667,66.58,88,92,3.2
250,Washougal,US,2022-04-16 04:13:36,45.5826,-122.3534,48.06,69,100,10.0
251,Quang Ngai,VN,2022-04-16 04:12:43,15.1167,108.8,84.92,73,65,9.26
252,Champerico,GT,2022-04-16 04:13:37,14.3,-91.9167,83.26,71,64,7.07
253,Bethel,US,2022-04-16 04:13:37,41.3712,-73.414,58.35,44,0,12.66
254,Shakhtinsk,KZ,2022-04-16 04:13:38,49.71,72.5872,62.71,22,10,13.89
255,Paamiut,GL,2022-04-16 04:09:22,61.994,-49.6678,21.29,78,19,13.29
256,Rexburg,US,2022-04-16 04:12:47,43.826,-111.7897,37.38,56,0,11.5
257,Bengkulu,ID,2022-04-16 04:13:38,-3.8004,102.2655,84.97,64,100,4.21
258,Esso,RU,2022-04-16 04:13:38,55.9333,158.7,26.85,60,71,5.41
259,Rawson,AR,2022-04-16 04:01:40,-43.3002,-65.1023,63.66,48,5,13.53
260,Razdolinsk,RU,2022-04-16 04:13:39,58.4211,94.6658,39.47,96,100,5.44
261,Seoul,KR,2022-04-16 04:09:12,37.5683,126.9778,65.59,18,19,9.75
262,Batagay-Alyta,RU,2022-04-16 04:13:39,67.8006,130.4114,14.41,73,36,3.13
263,Bathsheba,BB,2022-04-16 04:13:39,13.2167,-59.5167,79.41,78,20,25.32
264,Rockland,US,2022-04-16 04:12:07,41.1668,-74.0496,58.3,40,28,4.0
265,Klaksvik,FO,2022-04-16 04:13:40,62.2266,-6.589,47.32,99,100,14.38
266,Gold Coast,AU,2022-04-16 04:03:50,-28.0,153.4333,75.99,75,75,11.5
267,Male,MV,2022-04-16 04:13:40,4.1748,73.5089,83.93,72,81,6.58
268,Aleksandrov Gay,RU,2022-04-16 04:13:40,50.147,48.5704,47.62,69,53,3.44
269,Clyde River,CA,2022-04-16 04:13:41,70.4692,-68.5914,-16.37,76,75,4.61
270,Port Keats,AU,2022-04-16 04:13:41,-14.25,129.55,92.53,44,98,2.62
271,Saint George,US,2022-04-16 04:13:41,37.1041,-113.5841,68.63,25,0,3.44
272,Kaeo,NZ,2022-04-16 04:13:42,-35.1,173.7833,66.33,90,92,6.13
273,Bonthe,SL,2022-04-16 04:13:42,7.5264,-12.505,76.33,88,51,6.04
274,Ballina,AU,2022-04-16 04:11:54,-28.8667,153.5667,67.01,96,94,13.13
275,Khandyga,RU,2022-04-16 04:12:16,62.6667,135.6,27.16,74,29,4.09
276,Guilin,CN,2022-04-16 04:14:42,25.2819,110.2864,54.79,86,100,7.63
277,Shawville,CA,2022-04-16 04:14:43,45.6001,-76.4827,41.83,79,88,7.63
278,Poum,NC,2022-04-16 04:14:43,-20.2333,164.0167,77.88,69,25,12.3
279,Haines Junction,CA,2022-04-16 04:14:43,60.7522,-137.5108,28.02,80,100,4.05
280,Primero De Enero,CU,2022-04-16 04:14:44,21.9469,-78.4283,74.79,84,66,6.58
281,Ishim,RU,2022-04-16 04:14:44,56.1128,69.4902,53.24,72,100,9.82
282,Duluth,US,2022-04-16 04:14:44,46.7833,-92.1066,24.57,68,100,16.11
283,Roma,US,2022-04-16 04:12:04,43.2128,-75.4557,53.73,72,40,4.61
284,Guadalupe Y Calvo,MX,2022-04-16 04:14:44,26.1,-106.9667,49.01,30,99,3.71
